index,order_in_index,indicator,category,analysis_label,coefficient,ci_lower,ci_upper,code_system,mapping,package_source
charlson,1,cci_metacanc,metacanc,,4.171,4.095,4.245,ICD10,charlson_icd10_quan,comorbidity
charlson,2,cci_aids,aids,,2.881,2.387,3.355,ICD10,charlson_icd10_quan,comorbidity
charlson,3,cci_canc,canc,,2.394,2.355,2.437,ICD10,charlson_icd10_quan,comorbidity
charlson,4,cci_msld,msld,,2.209,1.964,2.456,ICD10,charlson_icd10_quan,comorbidity
charlson,5,cci_diabwc,diabwc,,2.128,2.083,2.175,ICD10,charlson_icd10_quan,comorbidity
charlson,6,cci_mld,mld,,2.052,1.946,2.156,ICD10,charlson_icd10_quan,comorbidity
charlson,7,cci_rheumd,rheumd,,1.993,1.94,2.05,ICD10,charlson_icd10_quan,comorbidity
charlson,8,cci_diab,diab,,1.776,1.746,1.807,ICD10,charlson_icd10_quan,comorbidity
charlson,9,cci_cpd,cpd,,1.712,1.676,1.749,ICD10,charlson_icd10_quan,comorbidity
charlson,10,cci_rend,rend,,1.49,1.419,1.566,ICD10,charlson_icd10_quan,comorbidity
charlson,11,cci_cevd,cevd,,1.478,1.42,1.532,ICD10,charlson_icd10_quan,comorbidity
charlson,12,cci_dementia,dementia,,1.444,1.366,1.529,ICD10,charlson_icd10_quan,comorbidity
charlson,13,cci_hp,hp,,1.437,1.257,1.618,ICD10,charlson_icd10_quan,comorbidity
charlson,14,cci_pud,pud,,1.374,1.201,1.542,ICD10,charlson_icd10_quan,comorbidity
charlson,15,cci_chf,chf,,1.248,1.188,1.309,ICD10,charlson_icd10_quan,comorbidity
charlson,16,cci_pvd,pvd,,1.179,1.094,1.254,ICD10,charlson_icd10_quan,comorbidity
charlson,17,cci_mi,mi,,1.137,1.075,1.196,ICD10,charlson_icd10_quan,comorbidity
elixhauser,1,eci_metacanc,metacanc,,3.937,3.854,4.018,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,2,eci_aids,aids,,2.946,2.505,3.385,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,3,eci_psycho,psycho,,2.63,2.52,2.75,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,4,eci_lymph,lymph,,2.44,2.316,2.572,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,5,eci_ond,ond,,2.156,2.092,2.222,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,6,eci_solidtum,solidtum,,2.111,2.064,2.158,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,7,eci_rheumd,rheumd,,1.849,1.798,1.902,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,8,eci_depre,depre,,1.633,1.582,1.68,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,9,eci_drug,drug,,1.605,1.375,1.808,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,10,eci_diabc,diabc,,1.599,1.558,1.64,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,11,eci_hypc,hypc,,1.54,1.405,1.666,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,12,eci_hypunc,hypunc,,1.503,1.478,1.527,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,13,eci_ld,ld,,1.48,1.382,1.58,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,14,eci_carit,carit,,1.463,1.427,1.496,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,15,eci_cpd,cpd,,1.363,1.325,1.405,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,16,eci_pud,pud,,1.351,1.119,1.566,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,17,eci_para,para,,1.299,1.116,1.477,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,18,eci_coag,coag,,1.217,1.046,1.395,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,19,eci_diabunc,diabunc,,1.199,1.166,1.232,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,20,eci_alcohol,alcohol,,1.157,1.05,1.263,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,21,eci_rf,rf,,1.091,1.016,1.166,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,22,eci_pcd,pcd,,1.025,0.894,1.15,ICD10,elixhauser_icd10_quan,comorbidity
elixhauser,23,eci_valv,valv,,0.908,0.831,0.991,ICD10,elixhauser_icd10_quan,comorbidity
